"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Nakhon Pathom",2013,87,78,85,66,22,15,62,131,86,57,42,27,758
"Nakhon Pathom",2014,19,33,15,4,10,13,27,32,47,66,84,74,424
"Nakhon Pathom",2015,51,52,47,37,53,67,149,197,240,200,211,157,1461
"Nakhon Pathom",2016,113,35,25,27,13,9,11,28,21,20,18,13,333
"Nakhon Pathom",2017,15,17,12,11,10,33,51,82,66,70,81,81,529
"Nakhon Pathom",2018,60,50,42,48,69,123,164,141,121,119,177,125,1239
"Nakhon Pathom",2019,102,60,53,14,23,34,59,106,105,136,99,62,853
"Nakhon Pathom",2020,42,24,16,6,11,12,23,28,39,35,26,14,276
"Nakhon Phanom",2011,0,1,0,3,8,16,23,23,17,6,3,2,102
"Nakhon Phanom",2012,0,1,3,5,15,32,21,21,11,8,12,2,131
"Nakhon Phanom",2013,18,14,43,68,181,384,253,51,12,11,5,0,1040
"Nakhon Phanom",2014,1,0,5,2,2,11,11,10,9,2,1,0,54
"Nakhon Phanom",2015,2,1,2,6,18,34,41,59,35,22,28,9,257
"Nakhon Phanom",2016,2,3,5,3,6,25,22,25,7,2,1,0,101
"Nakhon Phanom",2017,2,0,1,1,9,10,10,13,1,2,2,0,51
"Nakhon Phanom",2018,0,0,1,3,14,17,12,9,3,1,2,3,65
"Nakhon Phanom",2019,4,4,5,29,92,124,49,12,7,1,2,0,329
"Nakhon Phanom",2020,1,0,0,5,7,16,31,5,5,1,0,1,72
"Nakhon Ratchasima",2011,28,20,36,49,133,291,303,319,193,97,90,53,1612
"Nakhon Ratchasima",2012,48,42,47,72,165,328,312,240,162,239,269,179,2103
"Nakhon Ratchasima",2013,150,132,212,206,355,724,892,686,366,159,54,14,3950
"Nakhon Ratchasima",2014,5,7,7,7,24,51,75,74,47,67,38,31,433
"Nakhon Ratchasima",2015,22,9,40,43,140,252,457,610,642,448,383,174,3220
"Nakhon Ratchasima",2016,84,46,77,25,26,28,80,121,79,56,42,11,675
"Nakhon Ratchasima",2017,19,12,18,21,63,150,155,132,64,32,22,3,691
"Nakhon Ratchasima",2018,8,6,7,18,90,209,178,198,148,141,120,75,1198
"Nakhon Ratchasima",2019,81,82,104,108,252,482,422,245,195,258,190,68,2487
"Nakhon Ratchasima",2020,79,55,81,58,135,342,585,307,112,25,12,2,1793
